"time","blood.vessel.pressure","cNeAmount.con.concentration","lung.r","vNeAmount.con.concentration","baro.signal.activation","cNeEmit.trigger.activation","para.signal.activation","heart.tlast","symp.signal.activation"
0.167,108.7834689111751,0.02299727714705172,0.5477142857142858,0.03901905997063809,1.12612067228585,0.04969008104740769,0.05427359007797126,0,0.04969008104740769
0.168,108.7438362803131,0.02298578138301945,0.5480000000000002,0.03909953031886401,1.125343853081006,0.05031137689861898,0.05424019607850372,0,0.05031137689861898
0.169,108.7042163146765,0.02297429136536724,0.5482857142857145,0.03917996044242947,1.12456728354063,0.05093247209507545,0.0542067967332733,0,0.05093247209507545
0.17,108.6646090113583,0.02296280709122856,0.5485714285714287,0.03926035036140022,1.12379096360748,0.05155336668308763,0.05417339204854434,0,0.05155336668308763
0.171,108.6250143675106,0.02295132855787509,0.548857142857143,0.03934070009487448,1.1230148932255,0.05217406070802089,0.05413998203067728,0,0.05217406070802089
0.172,108.5854323801785,0.02293985576232938,0.5491428571428573,0.03942100966369451,1.122239072336484,0.05279455421696266,0.05410656668599644,0,0.05279455421696266
0.173,108.5458630464524,0.02292838870171924,0.5494285714285716,0.03950127908796546,1.121463500883127,0.05341484725628276,0.05407314602091081,0,0.05341484725628276
0.174,108.5063063634228,0.02291692737317252,0.5497142857142859,0.03958150838779247,1.120688178808119,0.05403493987235819,0.05403972004187822,0,0.05403493987235819
0.175,108.46676232818,0.02290547177381706,0.5500000000000002,0.0396616975832807,1.119913106054145,0.05465483211157229,0.05400628875540515,0,0.05465483211157229
0.176,108.4272309378143,0.02289402190078069,0.5502857142857145,0.03974184669453529,1.119138282563887,0.05527452402031541,0.05397285216804696,0,0.05527452402031541
0.177,108.3877121894166,0.02288257775119208,0.5505714285714287,0.0398219557416556,1.118363708280026,0.05589401564498009,0.05393941028640785,0,0.05589401564498009
0.178,108.3482060801658,0.02287113932237369,0.550857142857143,0.03990202474338433,1.117589383147001,0.05651330703055568,0.0539059631172105,0,0.05651330703055568
0.179,108.3087126070986,0.02285970661133536,0.5511428571428574,0.03998205372065261,1.116815307106407,0.05713239822431093,0.05387251066711375,0,0.05713239822431093
0.18,108.2692317673096,0.02284827961521451,0.5514285714285716,0.04006204269349861,1.116041480100989,0.05775128927259465,0.05383905294287094,0,0.05775128927259465
0.181,108.2297635578938,0.02283685833114852,0.5517142857142859,0.0401419916819605,1.115267902073493,0.05836998022176187,0.05380558995128403,0,0.05836998022176187
0.182,108.1903079759458,0.02282544275627481,0.5520000000000002,0.04022190070607649,1.114494572966654,0.05898847111817551,0.05377212169920347,0,0.05898847111817551
0.183,108.1508650185603,0.02281403288773077,0.5522857142857145,0.04030176978588471,1.113721492723207,0.05960676200820336,0.05373864819352833,0,0.05960676200820336
0.184,108.1114346828321,0.02280262872265382,0.5525714285714287,0.04038159894142339,1.11294866128588,0.06022485293822222,0.0537051694412061,0,0.06022485293822222
0.185,108.0720169659116,0.02279123025833485,0.552857142857143,0.04046138819165621,1.112176078598514,0.06084274395372025,0.05367168544927704,0,0.06084274395372025
0.186,108.0326118648664,0.02277983749183649,0.5531428571428574,0.04054113755714476,1.111403744603285,0.06146043510152155,0.05363819622476407,0,0.06146043510152155
0.187,107.99321937679,0.02276845042029256,0.5534285714285716,0.04062084705795226,1.110631659242881,0.06207792642804277,0.05360470177475901,0,0.06207792642804277
0.188,107.95383949878,0.02275706904084881,0.5537142857142859,0.04070051671405846,1.109859822460072,0.06269521797963828,0.05357120210640551,0,0.06269521797963828
0.189,107.9144722279344,0.022745693350651,0.5540000000000003,0.04078014654544316,1.109088234197624,0.06331230980266822,0.05353769722689561,0,0.06331230980266822
0.19,107.8751175613509,0.02273432334684487,0.5542857142857145,0.04085973657208609,1.1083168943983,0.06392920194349949,0.05350418714346963,0,0.06392920194349949
0.191,107.8357754961272,0.02272295902657616,0.5545714285714288,0.04093928681396703,1.107545803004854,0.06454589444850589,0.05347067186341623,0,0.06454589444850589
0.192,107.7964460294103,0.022711600387105,0.5548571428571432,0.04101879729026515,1.106774959961026,0.06516238736327962,0.05343715139411134,0,0.06516238736327962
0.193,107.7571291582876,0.02270024742555253,0.5551428571428574,0.04109826802113238,1.10600436520935,0.06577868073437665,0.0534036257429317,0,0.06577868073437665
0.194,107.7178248798548,0.02268890013906038,0.5554285714285717,0.04117769902657752,1.105234018692535,0.06639477460821919,0.05337009491730929,0,0.06639477460821919
0.195,107.6785331912169,0.02267755852479077,0.5557142857142859,0.04125709032646475,1.104463920353462,0.06701066903109287,0.05333655892473126,0,0.06701066903109287
0.196,107.6392540894794,0.02266622257990725,0.5560000000000003,0.0413364419406494,1.103694070135019,0.06762636404928113,0.05330301777273341,0,0.06762636404928113
0.197,107.5999875717481,0.02265489230157462,0.5562857142857145,0.04141575388897781,1.102924467980099,0.06824185970906527,0.05326947146890004,0,0.06824185970906527
0.198,107.5607336351298,0.02264356768695896,0.5565714285714288,0.04149502619128746,1.102155113831604,0.06885715605672493,0.05323592002086393,0,0.06885715605672493
0.199,107.5214922767313,0.02263224873322761,0.5568571428571432,0.04157425886740687,1.10138600763244,0.06947225313853655,0.05320236343630645,0,0.06947225313853655
0.2,107.4822634936603,0.02262093543754921,0.5571428571428574,0.04165345193715568,1.100617149325522,0.07008715100077445,0.05316880172295735,0,0.07008715100077445
0.201,107.4430472830251,0.02260962779709366,0.5574285714285717,0.04173260542034459,1.099848538853771,0.07070184968970961,0.0531352348885949,0,0.07070184968970961
0.202,107.4038436419343,0.02259832580903211,0.5577142857142859,0.04181171933677539,1.099080176160113,0.07131634925161268,0.05310166294104565,0,0.07131634925161268
0.203,107.3646525674972,0.02258702947053703,0.5580000000000003,0.04189079370624096,1.098312061187484,0.07193064973274943,0.05306808588818461,0,0.07193064973274943
0.204,107.3254740568236,0.02257573877878213,0.5582857142857145,0.04196982854852524,1.097544193878824,0.07254475117938486,0.05303450373793507,0,0.07254475117938486
0.205,107.2863081070239,0.02256445373094241,0.5585714285714288,0.04204882388340328,1.096776574177081,0.07315865363778062,0.05300091649826868,0,0.07315865363778062
0.206,107.247154715219,0.02255317432423266,0.5588571428571432,0.04212777973037154,1.096009202025412,0.07377235715403452,0.05296732417721327,0,0.07377235715403452
0.207,107.2080138785201,0.02254190055582913,0.5591428571428574,0.04220669610919627,1.09524207736677,0.07438586177440865,0.05293372678283677,0,0.07438586177440865
0.208,107.1688855940348,0.02253063242289442,0.5594285714285717,0.04228557303973921,1.094475200144039,0.07499916754522595,0.05290012432325204,0,0.07499916754522595
0.209,107.1297698588767,0.02251936992261142,0.5597142857142861,0.04236441054172023,1.093708570300209,0.07561227451272545,0.05286651680662426,0,0.07561227451272545
0.21,107.0906666701594,0.02250811305216442,0.5600000000000003,0.04244320863484918,1.092942187778277,0.0762251827231446,0.05283290424116663,0,0.0762251827231446
0.211,107.0515760249975,0.02249686180873917,0.5602857142857146,0.04252196733882594,1.092176052521248,0.07683789222271697,0.05279928663514051,0,0.07683789222271697
0.212,107.012497920506,0.02248561618952282,0.5605714285714288,0.04260068667334042,1.091410164472133,0.0774504030576727,0.05276566399685544,0,0.0774504030576727
0.213,106.9734323538006,0.02247437619170396,0.5608571428571432,0.04267936665807245,1.090644523573955,0.07806271527423836,0.052732036334669,0,0.07806271527423836
0.214,106.9343793219974,0.0224631418124726,0.5611428571428574,0.04275800731269198,1.089879129769741,0.07867482891863808,0.05269840365698674,0,0.07867482891863808
0.215,106.8953388222134,0.02245191304902018,0.5614285714285717,0.04283660865685888,1.089113983002526,0.07928674403709168,0.05266476597226234,0,0.07928674403709168
0.216,106.856310851566,0.02244068989853959,0.5617142857142861,0.04291517071022304,1.088349083215356,0.07989846067581641,0.05263112328899733,0,0.07989846067581641
0.217,106.817295407173,0.0224294723582251,0.5620000000000003,0.04299369349242439,1.087584430351281,0.08050997888102562,0.05259747561574128,0,0.08050997888102562
0.218,106.7782924861531,0.02241826042527248,0.5622857142857146,0.04307217702309283,1.086820024353361,0.08112129869892937,0.05256382296109161,0,0.08112129869892937
0.219,106.7393020856306,0.02240705409688385,0.5625714285714289,0.04315062132181318,1.086055865164763,0.08173242017565474,0.05253016533369755,0,0.08173242017565474
0.22,106.7003242027225,0.0223958533702551,0.5628571428571432,0.04322902640821446,1.085291952728508,0.08234334335744842,0.05249650274225012,0,0.08234334335744842
0.221,106.6613588345486,0.02238465824258579,0.5631428571428575,0.04330739230189964,1.08452828698767,0.08295406829051677,0.0524628351954899,0,0.08295406829051677
0.222,106.62240597823,0.02237346871107758,0.5634285714285717,0.04338571902245713,1.083764867885346,0.08356459502105318,0.05242916270220577,0,0.08356459502105318
0.223,106.5834656308888,0.02236228477293355,0.5637142857142861,0.04346400658946527,1.083001695364639,0.08417492359524614,0.05239548527123437,0,0.08417492359524614
0.224,106.544537789647,0.02235110642535826,0.5640000000000003,0.04354225502249236,1.08223876936866,0.08478505405928149,0.05236180291146,0,0.08478505405928149
0.225,106.5056224516277,0.02233993366555765,0.5642857142857146,0.04362046434109657,1.081476089840531,0.08539498645934085,0.05232811563181469,0,0.08539498645934085
0.226,106.4667196139545,0.02232876649073915,0.5645714285714289,0.04369863456482608,1.080713656723377,0.08600472084160293,0.05229442344127803,0,0.08600472084160293
0.227,106.4278292737515,0.0223176048981116,0.5648571428571432,0.04377676571321896,1.079951469960338,0.08661425725224126,0.0522607263488773,0,0.08661425725224126
0.228,106.3889514281435,0.02230644888488528,0.5651428571428575,0.04385485780580319,1.079189529494557,0.08722359573742688,0.05222702436368727,0,0.08722359573742688
0.229,106.3500860742558,0.02229529844827191,0.5654285714285717,0.04393291086209674,1.078427835269189,0.08783273634332611,0.05219331749483028,0,0.08783273634332611
0.23,106.3112332092144,0.02228415358548467,0.5657142857142861,0.04401092490160746,1.077666387227392,0.08844167911610257,0.05215960575147615,0,0.08844167911610257
0.231,106.272392830144,0.02227301429373684,0.5660000000000004,0.04408889994384231,1.076905185312303,0.08905042410194386,0.05212588914284073,0,0.08905042410194386
0.232,106.2335649341556,0.02226188057023276,0.5662857142857146,0.04416683600837081,1.07614422946678,0.08965897134726064,0.05209216767817609,0,0.08965897134726064
0.233,106.1947495183894,0.02225075241219897,0.5665714285714289,0.04424473311460737,1.075383519634257,0.09026732089800571,0.05205844136680415,0,0.09026732089800571
0.234,106.1559465799732,0.02223962981685389,0.5668571428571433,0.0443225912820229,1.074623055757915,0.09087547280033881,0.05202471021808373,0,0.09087547280033881
0.235,106.1171561160352,0.02222851278141739,0.5671428571428575,0.04440041053007841,1.073862837780944,0.09148342710041379,0.0519909742414211,0,0.09148342710041379
0.236,106.0783781237042,0.02221740130311074,0.5674285714285718,0.04447819087822499,1.073102865646543,0.09209118384438175,0.0519572334462697,0,0.09209118384438175
0.237,106.0396126001097,0.02220629537915662,0.5677142857142861,0.04455593234590383,1.072343139297916,0.09269874307839054,0.05192348784213021,0,0.09269874307839054
0.238,106.0008595423817,0.02219519500677913,0.5680000000000004,0.04463363495254619,1.071583658678276,0.09330610484858437,0.05188973743855047,0,0.09330610484858437
0.239,105.9621189476505,0.02218410018320382,0.5682857142857146,0.04471129871757344,1.070824423730845,0.09391326920110488,0.05185598224512544,0,0.09391326920110488
0.24,105.9233908130474,0.02217301090565759,0.5685714285714289,0.04478892366039704,1.070065434398852,0.09452023618208816,0.05182222227149727,0,0.09452023618208816
0.241,105.8846751357041,0.02216192717136881,0.5688571428571433,0.0448665098004185,1.069306690625533,0.09512700583766942,0.05178845752735504,0,0.09512700583766942
0.242,105.8459719127527,0.02215084897756724,0.5691428571428575,0.04494405715702948,1.068548192354135,0.09573357821397754,0.05175468802243501,0,0.09573357821397754
0.243,105.8072811413261,0.02213977632148407,0.5694285714285718,0.04502156574961169,1.067789939527908,0.09633995335714074,0.05172091376652027,0,0.09633995335714074
0.244,105.7686028185457,0.02212870920034503,0.5697142857142862,0.04509903559758499,1.067031932089882,0.09694613131346819,0.05168713476943175,0,0.09694613131346819
0.245,105.7299369415276,0.02211764761137374,0.5700000000000004,0.04517646672038397,1.066274169982971,0.09755211212936277,0.05165335104103246,0,0.09755211212936277
0.246,105.6912835074249,0.0221065915518164,0.5702857142857147,0.04525385913728532,1.065516653150819,0.09815789585064716,0.05161956259126081,0,0.09815789585064716
0.247,105.6526425133713,0.02209554101890908,0.570571428571429,0.04533121286763658,1.064759381536683,0.09876348252345579,0.05158576943008648,0,0.09876348252345579
0.248,105.6140139565011,0.02208449600988922,0.5708571428571433,0.04540852793077558,1.064002355083829,0.09936887219391899,0.05155197156752593,0,0.09936887219391899
0.249,105.575397833949,0.02207345652199567,0.5711428571428575,0.04548580434603051,1.063245573735529,0.09997406490816552,0.05151816901364232,0,0.09997406490816552
0.25,105.5367941428502,0.02206242255246861,0.5714285714285718,0.04556304213271991,1.062489037435062,0.1005790607123213,0.05148436177854541,0,0.1005790607123213
0.251,105.4982028803405,0.02205139409854964,0.5717142857142862,0.04564024131015267,1.061732746125713,0.1011838596525089,0.05145054987239173,0,0.1011838596525089
0.252,105.4596240435563,0.02204037115748173,0.5720000000000004,0.04571740189762803,1.060976699750777,0.1017884617748483,0.05141673330538429,0,0.1017884617748483
0.253,105.4210576296342,0.02202935372650922,0.5722857142857147,0.04579452391443557,1.06022089825355,0.1023928671254589,0.05138291208777265,0,0.1023928671254589
0.254,105.3825036357115,0.02201834180287785,0.572571428571429,0.04587160737985521,1.059465341577341,0.1029970757504538,0.05134908622985297,0,0.1029970757504538
0.255,105.343962058926,0.0220073353838347,0.5728571428571433,0.04594865231315726,1.058710029665462,0.1036010876959462,0.05131525574196779,0,0.1036010876959462
0.256,105.3054328964161,0.02199633446662826,0.5731428571428575,0.0460256587336023,1.057954962461234,0.1042049030080454,0.05128142063450614,0,0.1042049030080454
